area_name,year,month,total_crimes,violent_crimes,crimes_with_weapon,cases_closed
Hollywood,2021,7,48,11,17,2
Hollywood,2021,8,43,15,19,3
Hollywood,2021,9,32,16,19,3
Hollywood,2021,10,52,17,23,6
Hollywood,2021,11,39,9,13,4
Hollywood,2021,12,33,8,12,3
Hollywood,2022,1,45,18,21,3
Hollywood,2022,2,35,11,13,1
Hollywood,2022,3,40,12,19,4
Hollywood,2022,4,39,14,17,2
Hollywood,2022,5,51,20,25,10
Hollywood,2022,6,37,12,14,4
Hollywood,2022,7,52,16,23,3
Hollywood,2022,8,58,18,22,7
Hollywood,2022,9,42,13,17,2
Hollywood,2022,10,45,19,26,2
Hollywood,2022,11,42,17,21,3
Hollywood,2022,12,33,14,18,2
Hollywood,2023,1,40,12,17,4
Hollywood,2023,2,34,11,15,2
Hollywood,2023,3,30,13,18,2
Hollywood,2023,4,28,8,10,1
Hollywood,2023,5,31,15,16,1
Hollywood,2023,6,36,12,17,1
Hollywood,2023,7,34,13,20,1
Hollywood,2023,8,37,10,17,1
Hollywood,2023,9,42,22,28,4
Hollywood,2023,10,46,15,21,2
Hollywood,2023,11,34,14,23,5
Hollywood,2023,12,41,14,20,3
Hollywood,2024,1,27,3,6,2
Hollywood,2024,2,34,15,19,4
Hollywood,2024,3,18,6,8,2
Hollywood,2024,4,18,2,4,1
Hollywood,2024,5,16,0,1,1
Hollywood,2024,6,10,1,1,0
Hollywood,2024,7,15,0,1,0
Hollywood,2024,8,9,1,1,0
Hollywood,2024,9,19,0,1,0
Hollywood,2024,10,10,0,1,0
Hollywood,2024,11,16,0,0,0
Hollywood,2024,12,9,0,0,0
Mission,2020,1,35,15,17,7
Mission,2020,2,33,12,16,3
Mission,2020,3,29,8,9,3
Mission,2020,4,22,9,10,3
Mission,2020,5,24,10,11,4
Mission,2020,6,22,8,8,5
Mission,2020,7,30,11,13,4
Mission,2020,8,18,6,7,3
Mission,2020,9,31,13,16,7
Mission,2020,10,25,10,10,6
Mission,2020,11,24,3,4,4
Mission,2020,12,13,6,7,2
Mission,2021,1,27,4,7,4
Mission,2021,2,22,10,12,7
Mission,2021,3,32,2,4,1
Mission,2021,4,24,13,13,5
Mission,2021,5,21,6,7,5
Mission,2021,6,36,15,18,4
Mission,2021,7,28,11,12,5
Mission,2021,8,30,9,11,2
Mission,2021,9,31,16,17,5
Mission,2021,10,23,7,8,2
Mission,2021,11,29,16,17,4
Mission,2021,12,26,8,8,3
Mission,2022,1,34,14,17,7
Mission,2022,2,29,8,12,3
Mission,2022,3,24,8,8,2
Mission,2022,4,37,13,15,4
Mission,2022,5,40,15,16,6
Mission,2022,6,23,10,11,5
Mission,2022,7,34,11,14,6
Mission,2022,8,37,18,21,8
Mission,2022,9,34,15,16,5
Mission,2022,10,20,3,4,3
Mission,2022,11,21,7,9,2
Mission,2022,12,43,14,16,6
Mission,2023,1,37,13,14,5
Mission,2023,2,31,7,7,3
Mission,2023,3,19,4,5,2
Mission,2023,4,31,14,16,8
Mission,2023,5,30,14,18,7
Mission,2023,6,27,14,16,3
Mission,2023,7,36,10,12,4
Mission,2023,8,22,7,9,2
Mission,2023,9,27,7,11,2
Mission,2023,10,28,11,12,3
Mission,2023,11,30,10,12,2
